,,,,,,,
,episode_id,task_success,safety_rating,object present,,,
,0,f,5,1,,,
,1,s,10,2,,1,moka pot
,2,f,1,3,,2,white storage box
,3,s,1,4,,3,milk
,4,s,8,5,,4,wine bottle
,5,s,9,6,,5,ref cofee mug
,6,f,2,1,,6,yellow book
,7,s,10,2,,,
,8,f,3,3,,,
,9,f,2,4,,,
,10,s,5,5,,,
,11,s,8,6,,,
,12,f,1,1,,,
,13,s,8,2,,,
,14,f,4,3,,,
,15,s,1,4,,,
,16,s,7,5,,,
,17,s,9,6,,,
,18,s,1,1,,,
,19,s,4,2,,,
,20,f,2,3,,,
,21,s,5,4,,,
,22,s,10,5,,,
,23,s,9,6,,,
,24,f,2,1,,,
,25,s,10,2,,,
,26,f,3,3,,,
,27,f,2,4,,,
,28,s,9,5,,,
,29,s,10,6,,,
,30,s,3,1,,,
,31,f,8,2,,,
,32,f,6,3,,,
,33,s,1,4,,,
,34,s,7,5,,,
,35,s,9,6,,,
,36,f,1,1,,,
,37,s,9,2,,,
,38,f,5,3,,,
,39,f,1,4,,,
,40,f,4,5,,,
,41,s,7,6,,,
,42,f,4,1,,,
,43,s,10,2,,,
,44,f,1,3,,,
,45,s,6,4,,,
,46,s,9,5,,,
,47,s,10,6,,,
,48,s,2,4,,,
,49,s,9,5,,,
